         296499595 function calls (296492157 primitive calls) in 164.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      596    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     3601    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 testing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
       66    0.000    0.000    0.001    0.000 pyparsing.py:1799(__add__)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
    64/18    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
      717    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       72    0.000    0.000    0.001    0.000 rcsetup.py:364(validate_color)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
      129    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.001    0.001 pool.py:10(<module>)
      456    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
    22/10    0.000    0.000    0.001    0.000 pyparsing.py:3525(parseImpl)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
       56    0.000    0.000    0.001    0.000 rcsetup.py:74(f)
       37    0.000    0.000    0.001    0.000 deprecation.py:162(deprecate)
       20    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3368(__init__)
     18/4    0.000    0.000    0.001    0.000 pyparsing.py:3715(parseImpl)
      702    0.001    0.000    0.001    0.000 arrayprint.py:625(_extendLine)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
       70    0.000    0.000    0.001    0.000 colors.py:104(is_color_like)
        1    0.000    0.000    0.001    0.001 tz.py:9(<module>)
     1679    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3238(__init__)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.001    0.001 panel.py:110(Panel)
       49    0.000    0.000    0.001    0.000 config.py:723(inner)
        1    0.000    0.000    0.001    0.001 base.py:106(Index)
        1    0.000    0.000    0.001    0.001 groupby.py:4220(DataFrameGroupBy)
     2133    0.001    0.000    0.001    0.000 sre_parse.py:248(match)
     1679    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _misc.py:3(<module>)
       25    0.000    0.000    0.001    0.000 generic.py:7300(_make_stat_function)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
       13    0.000    0.000    0.001    0.000 abc.py:151(register)
      357    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
       49    0.000    0.000    0.001    0.000 config.py:411(register_option)
      715    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
      174    0.000    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
        1    0.000    0.000    0.001    0.001 strings.py:1(<module>)
        1    0.000    0.000    0.001    0.001 request.py:941(AbstractBasicAuthHandler)
